序号,代码,名称,最新价(元) 2026.06.09,涨跌幅(%) 2026.06.09,市盈率(TTM)(倍) 2026.06.09,证券类型,涨跌额(元) 2026.06.09,最高价(元) 2026.06.09,最低价(元) 2026.06.09,换手率(%) 2026.06.09,量比 2026.06.09,成交量(股) 2026.06.09,成交额(元) 2026.06.09,市盈率(动)(倍) 2026.06.09,市净率(倍) 2026.06.09,总市值(元) 2026.06.09,流通市值(元) 2026.06.09
1,000100,TCL科技,4.86,4.52,19.98,A股,0.210,4.90,4.63,6.37,0.72,12.18亿,58.38亿,16.24,1.6623,1010.92亿,929.81亿
2,603299,苏盐井神,9.80,-0.71,19.91,A股,-0.070,9.92,9.77,0.56,0.77,434.51万,4267.39万,21.40,1.1414,93.57亿,76.49亿
3,000617,中油资本,7.23,-0.41,19.90,A股,-0.030,7.33,7.16,0.51,0.81,6442.35万,4.65亿,14.53,0.8588,914.02亿,914.02亿
4,301500,飞南资源,24.32,2.06,19.88,A股,0.490,24.34,23.54,6.98,0.70,1004.77万,2.41亿,8.43,2.6343,136.67亿,35.03亿
5,002423,中粮资本,8.72,-0.11,19.87,A股,-0.010,8.83,8.64,0.46,0.95,1056.17万,9229.74万,18.61,0.8423,200.92亿,200.92亿
6,600621,华鑫股份,12.24,0.33,19.87,A股,0.040,12.28,12.10,0.59,0.69,625.97万,7629.73万,20.91,1.3883,129.85亿,129.85亿
7,000709,河钢股份,2.10,-5.41,19.87,A股,-0.120,2.18,2.08,1.75,1.77,1.81亿,3.83亿,16.80,0.4171,217.08亿,217.04亿
8,001312,福恩股份,19.72,0.10,19.86,A股,0.020,19.88,19.48,4.14,0.69,236.46万,4650.17万,28.32,1.9706,46.01亿,11.27亿
9,688581,安杰思,54.40,-0.38,19.86,A股,-0.210,54.88,53.80,0.81,0.74,33.86万,1831.51万,19.42,1.7152,44.13亿,22.61亿
10,301223,中荣股份,16.08,-0.31,19.81,A股,-0.050,16.38,16.05,0.52,0.67,100.48万,1626.10万,18.16,1.0495,31.05亿,31.05亿
11,000923,河钢资源,14.08,0.64,19.81,A股,0.090,14.18,13.66,2.38,0.88,1493.27万,2.07亿,101.56,0.9522,91.90亿,88.41亿
12,300434,金石亚药,9.10,0.33,19.78,A股,0.030,9.21,8.96,1.89,0.75,647.11万,5874.37万,7.88,1.3874,36.56亿,31.13亿
13,603808,歌力思,8.96,0.34,19.76,A股,0.030,9.07,8.81,1.16,0.64,420.17万,3748.65万,19.87,1.2432,32.59亿,32.59亿
14,920892,广咨国际,12.55,-1.41,19.73,A股,-0.180,12.89,12.42,0.63,0.64,94.72万,1189.92万,72.78,6.2054,21.38亿,18.93亿
15,002541,鸿路钢构,18.36,-1.34,19.73,A股,-0.250,18.73,17.90,1.20,0.60,596.28万,1.09亿,21.46,1.2854,126.69亿,91.10亿
16,001230,劲旅环境,25.40,1.60,19.71,A股,0.400,25.79,24.54,2.87,0.88,225.49万,5671.71万,20.11,1.6870,34.07亿,19.95亿
17,600132,重庆啤酒,48.70,-2.78,19.71,A股,-1.390,50.21,48.51,1.08,1.14,525.06万,2.58亿,13.46,12.8900,235.69亿,235.69亿
18,000650,仁和药业,5.19,-0.38,19.68,A股,-0.020,5.23,5.18,0.61,0.74,817.17万,4244.78万,12.94,1.1254,72.66亿,69.10亿
19,601198,东兴证券,12.63,1.36,19.67,A股,0.170,13.09,12.52,0.87,1.34,2798.01万,3.57亿,28.90,1.3259,408.26亿,408.26亿
20,605337,李子园,9.25,-0.22,19.65,A股,-0.020,9.35,9.12,0.54,0.66,211.33万,1954.28万,16.86,2.1601,36.08亿,36.08亿
21,603797,联泰环保,4.19,0.00,19.64,A股,0.000,4.28,4.13,0.74,0.69,423.94万,1772.55万,12.52,0.7210,24.16亿,24.16亿
22,000507,珠海港,4.93,0.00,19.62,A股,0.000,4.95,4.87,0.83,0.39,748.69万,3672.54万,16.62,0.7585,45.34亿,44.49亿
23,300881,盛德鑫泰,43.15,-2.15,19.57,A股,-0.950,44.79,42.65,3.98,0.87,228.34万,9869.37万,27.04,3.8343,47.47亿,24.77亿
24,003000,劲仔食品,10.69,-1.20,19.56,A股,-0.130,10.81,10.48,1.76,0.92,542.89万,5769.42万,16.91,3.5982,48.20亿,32.93亿
25,920242,建邦科技,24.80,1.31,19.54,A股,0.320,24.95,24.38,1.08,1.12,40.69万,1005.91万,23.33,2.3814,16.53亿,9.34亿
26,301303,真兰仪表,15.59,-8.72,19.54,A股,-1.490,17.25,15.45,19.57,1.29,1999.81万,3.21亿,29.58,1.8832,63.73亿,15.93亿
27,300389,艾比森,13.48,1.66,19.53,A股,0.220,13.54,13.15,2.29,0.86,503.21万,6744.44万,31.67,2.9616,49.75亿,29.58亿
28,002223,鱼跃医疗,25.03,-1.07,19.52,A股,-0.270,25.42,24.82,1.04,1.12,982.11万,2.46亿,14.65,1.9230,250.92亿,235.86亿
29,300349,金卡智能,11.76,0.34,19.48,A股,0.040,11.86,11.40,2.56,0.80,944.77万,1.10亿,41.28,1.1091,49.06亿,43.48亿
30,600469,风神股份,5.65,0.00,19.47,A股,0.000,5.72,5.57,0.61,0.85,446.67万,2517.62万,24.70,1.0973,50.29亿,41.21亿
31,603969,银龙股份,8.06,3.73,19.42,A股,0.290,8.11,7.77,1.37,0.74,1162.82万,9231.97万,26.76,2.4809,70.25亿,68.48亿
32,600681,百川能源,3.55,-1.39,19.42,A股,-0.050,3.63,3.52,1.02,0.82,1367.90万,4857.10万,10.60,1.3223,47.60亿,47.56亿
33,603345,安井食品,89.01,1.03,19.42,A股,0.910,90.00,87.02,1.54,0.55,450.45万,4.00亿,13.17,1.8478,296.66亿,261.06亿
34,603235,天新药业,23.03,-0.39,19.39,A股,-0.090,23.26,22.81,0.07,0.74,29.26万,674.82万,17.15,1.9911,100.82亿,100.82亿
35,300795,米奥会展,9.65,1.15,19.38,A股,0.110,9.74,9.36,2.88,0.66,500.42万,4794.34万,-29.21,5.0779,28.84亿,16.79亿
36,688128,中国电研,25.97,1.56,19.38,A股,0.400,26.47,25.56,1.26,0.74,508.75万,1.32亿,19.61,2.9135,105.05亿,105.05亿
37,920121,江天科技,33.30,0.00,19.35,A股,0.000,33.66,32.96,1.78,0.82,21.21万,706.12万,18.40,2.8278,22.00亿,3.96亿
38,002452,长高电气,11.40,2.33,19.33,A股,0.260,11.52,11.16,3.72,0.80,1927.70万,2.19亿,31.22,2.6018,70.72亿,59.04亿
39,920656,海昇药业,14.71,1.03,19.28,A股,0.150,14.80,14.30,2.02,1.41,65.29万,955.00万,18.30,2.1513,14.71亿,4.76亿
40,920000,安徽凤凰,14.10,-1.47,19.28,A股,-0.210,14.47,14.04,1.32,0.99,76.18万,1080.31万,24.86,1.9368,12.93亿,8.12亿
41,002768,国恩股份,63.16,2.77,19.28,A股,1.700,63.81,59.50,3.05,1.18,539.92万,3.35亿,18.54,2.7590,190.27亿,111.63亿
42,300132,青松股份,6.46,2.70,19.26,A股,0.170,6.51,6.33,2.15,0.52,1090.33万,7012.48万,38.05,2.2652,33.37亿,32.82亿
43,002404,嘉欣丝绸,6.38,-5.90,19.26,A股,-0.400,6.85,6.25,9.68,0.92,4411.35万,2.85亿,16.27,1.8769,35.73亿,29.06亿
44,600089,特变电工,23.51,-1.80,19.26,A股,-0.430,24.13,22.96,3.12,1.19,1.58亿,36.73亿,16.37,1.6509,1187.91亿,1187.91亿
45,002832,比音勒芬,20.40,0.74,19.23,A股,0.150,20.77,20.00,3.95,1.28,1537.20万,3.14亿,7.54,2.1847,116.42亿,79.44亿
46,002500,山西证券,4.98,1.22,19.22,A股,0.060,4.99,4.90,0.51,0.75,1835.64万,9086.90万,17.52,0.9534,178.77亿,178.77亿
47,300511,雪榕生物,5.87,0.00,19.22,A股,0.000,5.96,5.75,2.64,0.82,1439.70万,8398.82万,5.43,2.1086,37.62亿,32.05亿
48,001233,海安集团,48.58,1.87,19.21,A股,0.890,48.99,47.73,3.26,0.75,122.86万,5934.77万,42.51,1.9153,90.35亿,18.32亿
49,603596,伯特利,27.96,-3.85,19.19,A股,-1.120,29.38,27.63,3.09,1.24,2776.99万,7.80亿,23.36,3.2051,250.98亿,250.98亿
50,001325,元创股份,38.70,-0.13,19.19,A股,-0.050,39.16,38.41,4.37,0.63,85.67万,3316.07万,29.66,1.6622,30.34亿,7.59亿
51,920017,星昊医药,16.85,0.90,19.16,A股,0.150,16.89,16.39,0.84,0.93,103.90万,1734.87万,16.54,1.3057,21.03亿,20.81亿
52,002322,理工能科,10.75,0.94,19.13,A股,0.100,10.77,10.59,0.57,0.66,200.95万,2150.73万,42.48,1.4424,39.29亿,37.78亿
53,000928,中钢国际,5.84,1.04,19.12,A股,0.060,5.90,5.78,0.87,0.94,1241.92万,7261.82万,11.35,1.0101,83.78亿,83.78亿
54,688789,宏华数科,48.93,-0.91,19.11,A股,-0.450,49.73,48.45,0.78,0.83,139.84万,6837.50万,53.06,2.4396,88.20亿,88.20亿
55,600854,春兰股份,4.64,-0.64,19.11,A股,-0.030,4.72,4.58,1.63,0.80,846.72万,3930.84万,410.61,0.9973,24.10亿,24.10亿
56,301035,润丰股份,49.79,-0.34,19.04,A股,-0.170,50.85,49.00,0.45,1.19,162.81万,8077.71万,27.45,2.4685,181.49亿,181.22亿
57,600298,安琪酵母,35.09,1.27,19.03,A股,0.440,35.58,34.22,0.80,0.77,687.92万,2.41亿,17.87,2.5405,304.53亿,300.77亿
58,300641,正丹股份,14.22,0.35,19.03,A股,0.050,14.33,14.03,0.81,0.57,426.29万,6042.17万,27.81,2.2800,74.73亿,74.73亿
59,000887,中鼎股份,21.80,0.14,19.02,A股,0.030,21.89,21.01,4.65,0.77,6113.28万,13.17亿,22.28,1.9853,286.99亿,286.53亿
60,605116,奥锐特,18.41,0.22,18.99,A股,0.040,18.56,18.16,0.65,0.91,262.18万,4804.92万,29.24,2.9185,74.78亿,74.78亿
61,688187,时代电气,57.90,8.86,18.99,A股,4.710,58.19,53.10,2.24,1.26,1948.78万,10.82亿,30.32,1.8090,780.32亿,503.10亿
62,600335,国机汽车,5.28,-0.56,18.99,A股,-0.030,5.38,5.24,0.59,0.93,872.53万,4607.46万,15.58,0.6729,78.54亿,78.54亿
63,600499,科达制造,15.33,4.64,18.99,A股,0.680,15.51,14.53,1.69,1.45,3238.18万,4.84亿,12.53,2.2351,294.01亿,294.01亿
64,600519,贵州茅台,1256.00,-0.55,18.98,A股,-6.980,1263.00,1252.55,0.22,0.76,278.60万,35.01亿,14.41,5.7960,1.57万亿,1.57万亿
65,002978,安宁股份,25.84,1.21,18.98,A股,0.310,26.00,25.33,0.81,0.77,300.71万,7712.33万,19.93,1.3898,121.96亿,95.42亿
